Animal Genome Size Data:: www.genomesize.com,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Data downloaded under intellectual property agreement on Tuesday 06th of November 2012 02:10:15 AM by David Orme, d.orme@imperial.ac.uk",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Phylum,Sub Phylum,Class,Order,Family,Species,Common Name,C-value,Chrom num,Method,Cell type,Std sp,References,References
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Micropteropus pusillus,Peters lesser epauletted fruit bat,2.23,,FIA,LV,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Myonycteris sp.,Collared fruit bat,2.19,,FIA,KC,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Nanonycteris veldkampii,Veldkamps dwarf epauletted fruit bat,2.27,,FIA,LV,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Penthetor lucasi,Lucas short-nosed fruit bat,2.23,,FIA,LV,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Pteropus conspicillatus,Spectacled flying fox,2.34,,FIA,LK,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Pteropus giganteus,Flying fox,2.22,38.00,FD,LK,HS,"Manfredi Romanini, M.G., C. Pelliciari, F. Bolchi, and E. Capanna (1975). Données nouvelles sur le contenu en ADN des noyaux postkinétiques chez les chiroptères. Mammalia 39: 675-683.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Pteropus giganteus,Indian flying fox,2.18,,FIA,"KC, LK","BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Pteropus hypomelanus,Variable flying fox,2.33,,FIA,LK,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Pteropus lylei,Lyles flying fox,2.51,,FIA,"KC, LV","BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Pteropus neohibernicus,Great flying fox,2.21,,FIA,LV,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Pteropus poliocephalus,Gray-headed flying fox,2.32,,FIA,LK,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Pteropus pumilus,Little golden-mantled flying fox,2.32,,FIA,LK,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Pteropus rodricensis,Rodrigues flying fox,2.23,,FIA,LK,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Pteropus vampyrus,Large flying fox,2.37,,FIA,"KC, LK","BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Rousettus aegyptiacus,Egyptian rousette,2.11,,FIA,"LK, LV","BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Rousettus amplexicaudatus,Geoffroys rousette,2.29,,FIA,LV,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Rousettus lanosus,Long-haired rousette,2.20,,FIA,LV,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Rousettus leschenaultii,Leschenaults rousette,2.20,,FIA,LV,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Scotonycteris zenkeri,Zenkers fruit bat,2.14,,FIA,"KC, LV","BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Sphaerias blanfordi,Blanfords fruit bat,2.08,,FIA,LV,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Syconycteris sp.,Blossom bat,2.07,,FIA,LV,"BO, SS","Smith, J.D.L. and T.R. Gregory (2009). The genome sizes of megabats (Chiroptera: Pteropodidae) are remarkably constrained. Biology Letters 5: 347-351.",
Chordata,Vertebrata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus cornutus,Little horseshoe bat,2.41,62.00,FD,LG,HS,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",
Chordata,Vertebrata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus euryale,Mediterranean horseshoe bat,1.87,58.00,FD,LK,HS,"Capanna, E. and M.G. Manfredi Romanini (1971). Nuclear DNA content and morphology of the karyotype in certain palearctic Microchiroptera. Caryologia 24: 471-482.","Capanna, E. and M.G. Manfredi Romanini (1973). Contenu en ADN des noyaux postkinétiques et évolution du caryotype chez les chiroptères. Periodicum Biologorum 75: 55-60."
Chordata,Vertebrata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus ferrumequinum,Greater horseshoe bat,1.96,,FD,LK,HS,"Capanna, E. and M.G. Manfredi Romanini (1971). Nuclear DNA content and morphology of the karyotype in certain palearctic Microchiroptera. Caryologia 24: 471-482.",
Chordata,Vertebrata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus ferrumequinum,Greater horseshoe bat,2.04,,FD,LK,HS,"Capanna, E. and M.G. Manfredi Romanini (1973). Contenu en ADN des noyaux postkinétiques et évolution du caryotype chez les chiroptères. Periodicum Biologorum 75: 55-60.",
Chordata,Vertebrata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus ferrumequinum,Greater horseshoe bat,2.68,58.00,FD,LG,HS,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",
Chordata,Vertebrata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus hipposideros,Lesser horseshoe bat,1.92,56.00,FD,LK,HS,"Capanna, E. and M.G. Manfredi Romanini (1971). Nuclear DNA content and morphology of the karyotype in certain palearctic Microchiroptera. Caryologia 24: 471-482.","Capanna, E. and M.G. Manfredi Romanini (1973). Contenu en ADN des noyaux postkinétiques et évolution du caryotype chez les chiroptères. Periodicum Biologorum 75: 55-60."
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Barbastella barbastellus,Barbastelle bat,2.20,32.00,FD,LK,HS,"Manfredi Romanini, M.G., C. Pelliciari, F. Bolchi, and E. Capanna (1975). Données nouvelles sur le contenu en ADN des noyaux postkinétiques chez les chiroptères. Mammalia 39: 675-683.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus brasiliensis,Brazilian brown bat,2.55,50.00,FD,LK,"GD, MM","Redi, C.A., H. Zacharias, S. Merani, M. Oliveira-Miranda, M. Aguilera, M. Zuccotti, S. Garagna, and E. Capanna (2005). Genome sizes in Afrotheria, Xenartha, Euarchontoglires, and Laurasiatheria. Journal of Heredity 96: 485-493.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus diminutus,Diminutive serotine,2.74,50.00,FD,LK,"GD, MM","Redi, C.A., H. Zacharias, S. Merani, M. Oliveira-Miranda, M. Aguilera, M. Zuccotti, S. Garagna, and E. Capanna (2005). Genome sizes in Afrotheria, Xenartha, Euarchontoglires, and Laurasiatheria. Journal of Heredity 96: 485-493.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus furinalis,Argentine brown bat,2.63,50.00,FD,LK,"GD, MM","Redi, C.A., H. Zacharias, S. Merani, M. Oliveira-Miranda, M. Aguilera, M. Zuccotti, S. Garagna, and E. Capanna (2005). Genome sizes in Afrotheria, Xenartha, Euarchontoglires, and Laurasiatheria. Journal of Heredity 96: 485-493.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus furinalis,Big brown bat,2.43,50.00,FCM,SP,"GD, MM","Burton, D.W., J.W. Bickham, and H.H. Genoways (1989). Flow-cytometric analyses of nuclear DNA content in four families of neotropical bats. Evolution 43: 756-765.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus fuscus,Big brown bat,2.25,50.00,FD,LK,HS,"Manfredi Romanini, M.G., C. Pelliciari, F. Bolchi, and E. Capanna (1975). Données nouvelles sur le contenu en ADN des noyaux postkinétiques chez les chiroptères. Mammalia 39: 675-683.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus fuscus,Big brown bat,2.43,,FIA,LK,HS,T.R. Gregory. Unpublished Data,
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Lasiuris borealis,Red bat,2.56,28.00,FCM,SP,"GD, MM","Burton, D.W., J.W. Bickham, and H.H. Genoways (1989). Flow-cytometric analyses of nuclear DNA content in four families of neotropical bats. Evolution 43: 756-765.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Lasiuris cinereus,Hoary bat,2.49,,FIA,LK,HS,T.R. Gregory. Unpublished Data,
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Lasiuris ega,Yellow bat,2.93,28.00,FCM,SP,"GD, MM","Burton, D.W., J.W. Bickham, and H.H. Genoways (1989). Flow-cytometric analyses of nuclear DNA content in four families of neotropical bats. Evolution 43: 756-765.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Lasiuris intermedius,Hairy-tailed bat,2.91,26.00,FCM,SP,"GD, MM","Burton, D.W., J.W. Bickham, and H.H. Genoways (1989). Flow-cytometric analyses of nuclear DNA content in four families of neotropical bats. Evolution 43: 756-765.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Lasiuris intermedius,Hairy-tailed bat,3.54,,FD,LV,HS,"Bachmann, K. (1972). Genome size in mammals. Chromosoma 35: 85-93.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Miniopterus schreibersi,Bent-winged bat,1.73,,FD,LK,HS,"Capanna, E. and M.G. Manfredi Romanini (1971). Nuclear DNA content and morphology of the karyotype in certain palearctic Microchiroptera. Caryologia 24: 471-482.","Capanna, E. and M.G. Manfredi Romanini (1973). Contenu en ADN des noyaux postkinétiques et évolution du caryotype chez les chiroptères. Periodicum Biologorum 75: 55-60."
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Miniopterus schreibersi,Bent-winged bat,2.27,46.00,FD,LG,HS,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Myotis austroriparia,Little brown bat,3.26,,FD,LV,HS,"Bachmann, K. (1972). Genome size in mammals. Chromosoma 35: 85-93.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Myotis capaccinii,Long-fingered bat,1.80,,FD,LK,HS,"Capanna, E. and M.G. Manfredi Romanini (1973). Contenu en ADN des noyaux postkinétiques et évolution du caryotype chez les chiroptères. Periodicum Biologorum 75: 55-60.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Myotis capaccinii,Long-fingered bat,1.85,,FD,LK,HS,"Capanna, E. and M.G. Manfredi Romanini (1971). Nuclear DNA content and morphology of the karyotype in certain palearctic Microchiroptera. Caryologia 24: 471-482.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Myotis capaccinii,Long-fingered bat,1.94,44.00,FD,LK,HS,"Manfredi Romanini, M.G., C. Pelliciari, F. Bolchi, and E. Capanna (1975). Données nouvelles sur le contenu en ADN des noyaux postkinétiques chez les chiroptères. Mammalia 39: 675-683.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Myotis frater,Little brown bat,2.52,,FD,LG,HS,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Myotis hosonoi,Little brown bat,2.61,,FD,LG,HS,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Myotis keaysi,Hairy-legged myotis,2.34,44.00,FD,LK,"GD, MM","Redi, C.A., H. Zacharias, S. Merani, M. Oliveira-Miranda, M. Aguilera, M. Zuccotti, S. Garagna, and E. Capanna (2005). Genome sizes in Afrotheria, Xenartha, Euarchontoglires, and Laurasiatheria. Journal of Heredity 96: 485-493.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Myotis keaysi,Little brown bat,2.65,44.00,FCM,SP,"GD, MM","Burton, D.W., J.W. Bickham, and H.H. Genoways (1989). Flow-cytometric analyses of nuclear DNA content in four families of neotropical bats. Evolution 43: 756-765.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Myotis macrodactylus,Little brown bat,2.57,44.00,FD,LG,HS,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Myotis myotis,Mouse-eared bat,2.09,,FD,LK,HS,"Capanna, E. and M.G. Manfredi Romanini (1973). Contenu en ADN des noyaux postkinétiques et évolution du caryotype chez les chiroptères. Periodicum Biologorum 75: 55-60.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Myotis myotis,Mouse-eared bat,2.15,,FD,LK,HS,"Capanna, E. and M.G. Manfredi Romanini (1971). Nuclear DNA content and morphology of the karyotype in certain palearctic Microchiroptera. Caryologia 24: 471-482.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Myotis myotis,Mouse-eared bat,2.17,44.00,FD,LK,HS,"Manfredi Romanini, M.G., C. Pelliciari, F. Bolchi, and E. Capanna (1975). Données nouvelles sur le contenu en ADN des noyaux postkinétiques chez les chiroptères. Mammalia 39: 675-683.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Myotis mystacinus,Little brown bat,1.93,44.00,FD,LK,HS,"Manfredi Romanini, M.G., C. Pelliciari, F. Bolchi, and E. Capanna (1975). Données nouvelles sur le contenu en ADN des noyaux postkinétiques chez les chiroptères. Mammalia 39: 675-683.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Pipistrelllus abramus,Pipistrelle,2.49,,FD,LG,HS,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus kuhli,Kuhl's pipistrelle,2.30,44.00,FD,LK,HS,"Capanna, E. and M.G. Manfredi Romanini (1971). Nuclear DNA content and morphology of the karyotype in certain palearctic Microchiroptera. Caryologia 24: 471-482.","Capanna, E. and M.G. Manfredi Romanini (1973). Contenu en ADN des noyaux postkinétiques et évolution du caryotype chez les chiroptères. Periodicum Biologorum 75: 55-60."
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus savii,Savi's pipistrelle,1.99,44.00,FD,LK,HS,"Capanna, E. and M.G. Manfredi Romanini (1971). Nuclear DNA content and morphology of the karyotype in certain palearctic Microchiroptera. Caryologia 24: 471-482.","Capanna, E. and M.G. Manfredi Romanini (1973). Contenu en ADN des noyaux postkinétiques et évolution du caryotype chez les chiroptères. Periodicum Biologorum 75: 55-60."
Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Rhogeessa tumida,Little yellow bat,2.80,32.00,FCM,SP,"GD, MM","Burton, D.W., J.W. Bickham, and H.H. Genoways (1989). Flow-cytometric analyses of nuclear DNA content in four families of neotropical bats. Evolution 43: 756-765.",
Chordata,Vertebrata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus maculatus,Quoll,3.48,14.00,FD,"LK, TS",HS,"Martin, P.G. and D.L. Hayman (1967). Quantitative comparisons between the karyotypes of Australian marsupials from three different superfamilies. Chromosoma 20: 290-310.",
Chordata,Vertebrata,Mammalia,Dasyuromorphia,Dasyuridae,Sarcophilus harrisii,Tasmanian devil,3.63,14.00,FD,"LK, TS",HS,"Martin, P.G. and D.L. Hayman (1967). Quantitative comparisons between the karyotypes of Australian marsupials from three different superfamilies. Chromosoma 20: 290-310.",
Chordata,Vertebrata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis crassicaudata,Fat-tailed dunnart,3.49,14.00,FD,"LK, TS",HS,"Martin, P.G. and D.L. Hayman (1967). Quantitative comparisons between the karyotypes of Australian marsupials from three different superfamilies. Chromosoma 20: 290-310.",
Chordata,Vertebrata,Mammalia,Didelphimorpha,Didelphidae,Didelphis aurita,Opossum,4.30,22.00,FD,LK,HS,"Garagna, S. and D. Formenti (1981). DNA content variability in several species of Australian and South American marsupials. Bollettino di Zoologia 48: 255-261.",
Chordata,Vertebrata,Mammalia,Didelphimorpha,Didelphidae,Didelphis marsupialis,South American opossum,3.90,22.00,FD,LK,HS,"Garagna, S. and D. Formenti (1981). DNA content variability in several species of Australian and South American marsupials. Bollettino di Zoologia 48: 255-261.",
Chordata,Vertebrata,Mammalia,Didelphimorpha,Didelphidae,Didelphis marsupialis,Southern opossum,3.21,22.00,FD,LK,"GD, MM","Redi, C.A., H. Zacharias, S. Merani, M. Oliveira-Miranda, M. Aguilera, M. Zuccotti, S. Garagna, and E. Capanna (2005). Genome sizes in Afrotheria, Xenartha, Euarchontoglires, and Laurasiatheria. Journal of Heredity 96: 485-493.",
Chordata,Vertebrata,Mammalia,Didelphimorpha,Didelphidae,Didelphis virginiana,Virginia opossum,4.15,22.00,FCM,LK,"HS, GD, V","Tiersch, T.R., R.W. Chandler, S.S. Wachtel, and S. Elias (1989a). Reference standards for flow cytometry and application in comparative studies of nuclear DNA content. Cytometry 10: 706-710.",
Chordata,Vertebrata,Mammalia,Didelphimorpha,Didelphidae,Lutreolina crassicaudata paranasalis,Thick-tailed opossum,4.20,22.00,FD,LK,HS,"Garagna, S. and D. Formenti (1981). DNA content variability in several species of Australian and South American marsupials. Bollettino di Zoologia 48: 255-261.",
Chordata,Vertebrata,Mammalia,Didelphimorpha,Didelphidae,Marmosa robinsoni,Robinson's mouse opossum,3.94,14.00,FD,LK,"GD, MM","Redi, C.A., H. Zacharias, S. Merani, M. Oliveira-Miranda, M. Aguilera, M. Zuccotti, S. Garagna, and E. Capanna (2005). Genome sizes in Afrotheria, Xenartha, Euarchontoglires, and Laurasiatheria. Journal of Heredity 96: 485-493.",
Chordata,Vertebrata,Mammalia,Didelphimorpha,Didelphidae,Marmosops fuscatus,Gray-bellied slender mouse opossum,2.85,,FD,LK,"GD, MM","Redi, C.A., H. Zacharias, S. Merani, M. Oliveira-Miranda, M. Aguilera, M. Zuccotti, S. Garagna, and E. Capanna (2005). Genome sizes in Afrotheria, Xenartha, Euarchontoglires, and Laurasiatheria. Journal of Heredity 96: 485-493.",
Chordata,Vertebrata,Mammalia,Didelphimorpha,Didelphidae,Micoureus demerarae,Long-furred woolly mouse opossum,4.88,14.00,FD,LK,"GD, MM","Redi, C.A., H. Zacharias, S. Merani, M. Oliveira-Miranda, M. Aguilera, M. Zuccotti, S. Garagna, and E. Capanna (2005). Genome sizes in Afrotheria, Xenartha, Euarchontoglires, and Laurasiatheria. Journal of Heredity 96: 485-493.",
Chordata,Vertebrata,Mammalia,Didelphimorpha,Didelphidae,Monodelphis brevicaudata,Red-legged short-tailed opossum,5.22,18.00,FD,LK,"GD, MM","Redi, C.A., H. Zacharias, S. Merani, M. Oliveira-Miranda, M. Aguilera, M. Zuccotti, S. Garagna, and E. Capanna (2005). Genome sizes in Afrotheria, Xenartha, Euarchontoglires, and Laurasiatheria. Journal of Heredity 96: 485-493.",
Chordata,Vertebrata,Mammalia,Didelphimorpha,Marmosidae,Gracilinanus agilis,Gracile mouse opossum,4.03,14.00,FD,LK,HS,"Garagna, S. and D. Formenti (1981). DNA content variability in several species of Australian and South American marsupials. Bollettino di Zoologia 48: 255-261.",
Chordata,Vertebrata,Mammalia,Didelphimorpha,Marmosidae,Monodelphis dimidiata,Short-tailed opossum,4.17,18.00,FD,LK,HS,"Garagna, S. and D. Formenti (1981). DNA content variability in several species of Australian and South American marsupials. Bollettino di Zoologia 48: 255-261.",
Chordata,Vertebrata,Mammalia,Didelphimorpha,Marmosidae,Thylamys pusilla,Southern mouse opossum,4.08,14.00,FD,LK,HS,"Garagna, S. and D. Formenti (1981). DNA content variability in several species of Australian and South American marsupials. Bollettino di Zoologia 48: 255-261.",
Chordata,Vertebrata,Mammalia,Diprotodontia,Burramyidae,Cercartetus concinnus,Dormouse possum,3.48,14.00,FD,"LK, TS",HS,"Martin, P.G. and D.L. Hayman (1967). Quantitative comparisons between the karyotypes of Australian marsupials from three different superfamilies. Chromosoma 20: 290-310.",
Chordata,Vertebrata,Mammalia,Diprotodontia,Burramyidae,Cercartetus nanus,Eastern pygmy possum,3.48,14.00,FD,"LK, TS",HS,"Martin, P.G. and D.L. Hayman (1967). Quantitative comparisons between the karyotypes of Australian marsupials from three different superfamilies. Chromosoma 20: 290-310.",
Chordata,Vertebrata,Mammalia,Diprotodontia,Macropodidae,Macropus giganteus,Eastern grey kangaroo,3.91,,FD,"LK, TS",HS,"Martin, P.G. and D.L. Hayman (1967). Quantitative comparisons between the karyotypes of Australian marsupials from three different superfamilies. Chromosoma 20: 290-310.",
Chordata,Vertebrata,Mammalia,Diprotodontia,Macropodidae,Macropus giganteus,Eastern grey kangaroo,4.21,16.00,FD,LK,HS,"Garagna, S. and D. Formenti (1981). DNA content variability in several species of Australian and South American marsupials. Bollettino di Zoologia 48: 255-261.",
Chordata,Vertebrata,Mammalia,Diprotodontia,Macropodidae,Macropus parma,Parma wallaby,4.02,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Diprotodontia,Macropodidae,Macropus parma,Parma wallaby,4.92,16.00,FD,"LG, EP",HS,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",
Chordata,Vertebrata,Mammalia,Diprotodontia,Macropodidae,Macropus robustus,Wallaroo,4.46,16.00,FD,LK,HS,"Garagna, S. and D. Formenti (1981). DNA content variability in several species of Australian and South American marsupials. Bollettino di Zoologia 48: 255-261.",
Chordata,Vertebrata,Mammalia,Diprotodontia,Macropodidae,Macropus rufogrigeus,Bennett's wallaby,5.58,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Diprotodontia,Macropodidae,Macropus rufus,Red kangaroo,3.13,20.00,BCA,S,NS,"Rendel, J.M. and G.M. Kellerman (1955). Deoxyribonucleic acid content of marsupial cells. Nature 176: 829.",
Chordata,Vertebrata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus vulpecula,Brush-tailed possum,3.00,20.00,BCA,S,NS,"Rendel, J.M. and G.M. Kellerman (1955). Deoxyribonucleic acid content of marsupial cells. Nature 176: 829.",
Chordata,Vertebrata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos cinereus,Koala,3.69,16.00,FD,"LK, TS",HS,"Martin, P.G. and D.L. Hayman (1967). Quantitative comparisons between the karyotypes of Australian marsupials from three different superfamilies. Chromosoma 20: 290-310.",
Chordata,Vertebrata,Mammalia,Diprotodontia,Potoroidae,Potorous tridactylus,Long-nosed potoroo,2.51,,BCA,HC,RN,"Bick, Y.A.E. and W.D. Jackson (1967). DNA content of monotremes. Nature 215: 192-193.",
Chordata,Vertebrata,Mammalia,Diprotodontia,Potoroidae,Potorous tridactylus,Long-nosed potoroo,3.08,,FD,KC,HS,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",
Chordata,Vertebrata,Mammalia,Diprotodontia,Potoroidae,Potorous tridactylus,Long-nosed potoroo,4.08,12.00,FD,LK,HS,"Garagna, S. and D. Formenti (1981). DNA content variability in several species of Australian and South American marsupials. Bollettino di Zoologia 48: 255-261.",
