Numbers,OriginalID,FinalID,Resource,ResCommon,ResIDLevel,ResKingdom,ResPhylum,ResClass,ResOrder,ResFamily,ResGenus,ResSpecies,ResTrophic,ResTrophicGroup_citation,ResType,ResStage,ResThermy,,,,
4732,36269,MTD587,Coleonyx variegatus,desert banded gecko,species,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Coleonyx,Coleonyx variegatus,carnivore,NA,alive,adult,ectotherm,,,,
4739,36270,MTD588,Hemidactylus frenatus,common house gecko,species,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus frenatus,carnivore,NA,alive,adult,ectotherm,,,,
4746,36271,MTD589,Hemidactylus turcicus,mediterranean gecko,species,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus turcicus,carnivore,NA,alive,adult,ectotherm,,,,
4752,36272,MTD590,Lepidodactylus lugubris,the mourning gecko,species,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Lepidodactylus,Lepidodactylus lugubris,omnivore,http://www.geckosunlimited.com/community/gecko-care-sheets/17763-mourning-gecko-lepidodactylus-lugubris-care-sheet.html,alive,adult,ectotherm,,,,
4758,36273,MTD591,fish-paste,fish-paste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
4763,36274,MTD592,fish-paste,fish-paste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
4767,36275,MTD593,artificial diet,artificial diet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
4770,36276,MTD594,artificial diet,artificial diet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
4772,36277,MTD595,Carassius auratus,goldfish,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius auratus,omnivore,NA,alive,adult,ectotherm,,,,
4774,36278,MTD596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
4776,36279,MTD597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
4778,36280,MTD598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
4780,36281,MTD599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
4782,36282,MTD600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
4784,36283,MTD601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
4786,36284,MTD602,Rhodomonas spp.,cryptomonad algae,genus,Protista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,NA,producer,NA,alive,NA,ectotherm,,,,
4788,36285,MTD603,Rhodomonas spp.,cryptomonad algae,genus,Protista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,NA,producer,NA,alive,NA,ectotherm,,,,
4796,36286,MTD604,Ditylum brightwellii,protist,species,Protista,Ochrophyta,Coscinodiscophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii,producer,NA,alive,NA,ectotherm,,,,
4799,36287,MTD605,Ditylum brightwellii,protist,species,Protista,Ochrophyta,Coscinodiscophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii,producer,NA,alive,NA,ectotherm,,,,
4803,36288,MTD606,Euphausia superba,dead antarctic krill,species,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,Euphausia superba,NA,NA,dead,adult (dead),ectotherm,,,,
4859,36289,MTD607,periphyton (chlorophyll a),periphyton (chlorophyll a),NA,NA,NA,NA,NA,NA,NA,NA,producer,NA,alive,NA,ectotherm,,,,
4929,36290,MTD608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
4950,36291,MTD609,Glossosoma spp.,caddisfly,genus,Animalia,Arthropoda,Insecta,Trichoptera,Glossosomatidae,Glossosoma,NA,herbivore,http://www.answers.com/topic/glossosoma-nigrior,alive,larvae,ectotherm,,,,
4962,36292,MTD610,Rhodomonas spp.,cryptomonad algae,genus,Protista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,NA,producer,NA,alive,NA,ectotherm,,,,
4976,36293,MTD611,Rhodomonas spp.,cryptomonad algae,genus,Protista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,NA,producer,NA,alive,NA,ectotherm,,,,
4992,36294,MTD612,Rana clamitans,green frog,species,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,Rana clamitans,carnivore,NA,alive,adult,ectotherm,,,,
4998,36295,MTD613,Acris crepitans,northern cricket frog,species,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,Acris crepitans,carnivore,NA,alive,adult,ectotherm,,,,
5004,36296,MTD614,Hyla femoralis,pinewoods tree frog,species,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla femoralis,carnivore,NA,alive,adult,ectotherm,,,,
5010,36297,MTD615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
5014,36298,MTD616,Eucalyptus regnans,block of wood mountain ash,species,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus regnans,producer,NA,alive,adult (block of wood),ectotherm,,,,
5022,36299,MTD617,Eucalyptus viminalis,block of wood manna gum,species,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus viminalis,producer,NA,alive,adult (block of wood),ectotherm,,,,
5030,36300,MTD618,Pinus radiata,radiata pine,species,Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus radiata,producer,NA,alive,adult,ectotherm,,,,
5040,36301,MTD619,Eucalyptus pauciflora,inner heartwood little snowman gum,species,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus pauciflora,producer,NA,alive,adult (inner heartwood),ectotherm,,,,
5044,36302,MTD620,Eucalyptus pauciflora,outer heartwood little snowman gum,species,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus pauciflora,producer,NA,alive,adult (outer heartwood),ectotherm,,,,
5048,36303,MTD621,Eucalyptus viminalis,block of wood manna gum,species,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus viminalis,producer,NA,alive,adult (block of wood),ectotherm,,,,
5052,36304,MTD622,Pinus radiata,radiata pine,species,Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus radiata,producer,NA,alive,adult,ectotherm,,,,
5055,36305,MTD623,Calanus finmarchicus,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus finmarchicus,omnivore,http://www.answers.com/topic/calanus-finmarchicus,alive,adult,ectotherm,,,,
5092,36306,MTD624,Calanus finmarchicus,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus finmarchicus,omnivore,http://www.answers.com/topic/calanus-finmarchicus,alive,adult,ectotherm,,,,
5143,36307,MTD625,Calanus finmarchicus,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus finmarchicus,omnivore,http://www.answers.com/topic/calanus-finmarchicus,alive,adult,ectotherm,,,,
5190,36308,MTD626,Calanus finmarchicus,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus finmarchicus,omnivore,http://www.answers.com/topic/calanus-finmarchicus,alive,adult,ectotherm,,,,
5222,36309,MTD627,Calanus finmarchicus,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus finmarchicus,omnivore,http://www.answers.com/topic/calanus-finmarchicus,alive,adult,ectotherm,,,,
5235,36310,MTD628,Rhodomonas spp.,cryptomonad algae,genus,Protista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,NA,producer,NA,alive,NA,ectotherm,,,,
5240,36311,MTD629,Rhodomonas spp.,cryptomonad algae,genus,Protista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,NA,producer,NA,alive,NA,ectotherm,,,,
5302,36312,MTD630,Sceloporus occidentalis,western fence lizard,species,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,Sceloporus occidentalis,omnivore,http://zipcodezoo.com/Animals/S/Sceloporus_undulatus/,alive,adult,ectotherm,,,,
5311,36314,MTD631,Necturus maculosus,mudpuppy,species,Animalia,Chordata,Amphibia,Caudata,Proteidae,Necturus,Necturus maculosus,carnivore,NA,alive,adult,ectotherm,,,,
5316,36315,MTD632,Xenopus laevis,african clawed frog,species,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,carnivore,NA,alive,adult,ectotherm,,,,
5323,36316,MTD633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
5583,36317,MTD634,Atelopus muisca,toad,species,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,Atelopus muisca,carnivore,NA,alive,adult,ectotherm,,,,
5633,36318,MTD635,Atelopus sp. nov.,toad,genus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,NA,carnivore,NA,alive,adult,ectotherm,,,,
5683,36319,MTD636,Atelopus varius,harlequin toad,species,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,Atelopus varius,carnivore,NA,alive,adult,ectotherm,,,,
5755,36320,MTD637,Colostethus flotator,poison dart frog,species,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Colostethus,Colostethus flotator,carnivore,NA,alive,adult,ectotherm,,,,
5833,36321,MTD638,Colostethus subpunctatus,poison dart frog,species,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Colostethus,Colostethus subpunctatus,carnivore,NA,alive,adult,ectotherm,,,,
5933,36322,MTD639,Colostethus talamancae,rocket frog,species,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Colostethus,Colostethus talamancae,carnivore,NA,alive,adult,ectotherm,,,,
6023,36323,MTD640,Eleutherodactylus bogotensis,robber frog,species,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Eleutherodactylus,Eleutherodactylus bogotensis,carnivore,NA,alive,adult,ectotherm,,,,
6123,36324,MTD641,Eleutherodactylus diastema,pigmy rain frog,species,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Eleutherodactylus,Eleutherodactylus diastema,carnivore,NA,alive,adult,ectotherm,,,,
6207,36325,MTD642,Hyla ebraccata,hourglass frog,species,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla ebraccata,carnivore,NA,alive,adult,ectotherm,,,,
6291,36326,MTD643,Hyla labialis,high-andean frog,species,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla labialis,carnivore,NA,alive,adult,ectotherm,,,,
6390,36327,MTD644,Hyla microcephala,yellow cricket tree frog,species,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla microcephala,carnivore,NA,alive,adult,ectotherm,,,,
6474,36328,MTD645,epiphytic micro-organism,epiphytic micro-organism,NA,NA,NA,NA,NA,NA,NA,NA,omnivore,NA,alive,NA,ectotherm,,,,
6725,36329,MTD646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
6775,36330,MTD647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
6866,36331,MTD648,Rhodomonas spp.,cryptomonad algae,genus,Protista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,NA,producer,NA,alive,NA,ectotherm,,,,
6870,36332,MTD649,Bufo boreas,western toad,species,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo boreas,carnivore,NA,alive,adult,ectotherm,,,,
6875,36333,MTD650,Rana pipiens,leopard frog,species,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,Rana pipiens,carnivore,NA,alive,adult,ectotherm,,,,
6880,36334,MTD651,Norops lineatopus,iguana,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Norops,Norops lineatopus,omnivore,http://www.issg.org/database/species/ecology.asp?si=603&fr=1&sts=&ver=print&prtflag=false,alive,adult,ectotherm,,,,
6912,36335,MTD652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
6932,36340,MTD653,Thamnophis sirtalis,common garter snake,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis sirtalis,carnivore,NA,alive,adult,ectotherm,,,,
7048,36341,MTD654,Nerodia sipedon,northern water snake,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Nerodia,Nerodia sipedon,carnivore,NA,alive,adult,ectotherm,,,,
7143,36342,MTD655,Thamnophis sauritus,eastern ribbon snake,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis sauritus,carnivore,NA,alive,adult,ectotherm,,,,
7281,36343,MTD656,Thamnophis sirtalis,common garter snake,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis sirtalis,carnivore,NA,alive,adult,ectotherm,,,,
7284,36344,MTD657,Nerodia sipedon,northern water snake,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Nerodia,Nerodia sipedon,carnivore,NA,alive,adult,ectotherm,,,,
7287,36345,MTD658,Thamnophis sauritus,eastern ribbon snake,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis sauritus,carnivore,NA,alive,adult,ectotherm,,,,
7290,36347,MTD659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7295,36348,MTD660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7300,36349,MTD661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7305,36350,MTD662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7310,36351,MTD663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7315,36352,MTD664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7322,36353,MTD665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7329,36354,MTD666,Mus musculus,white mouse,species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,omnivore,http://animaldiversity.ummz.umich.edu/site/accounts/information/Mus_musculus.html,alive,adult,endotherm,,,,
7341,36355,MTD667,Serpentes spp.,snake,genus,Animalia,Chordata,Reptilia,Squamata,NA,Serpentes,NA,carnivore,NA,alive,adult,ectotherm,,,,
7360,36356,MTD668,Myoxocephalus scorpius,short-horn sculpin,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus scorpius,carnivore,http://www.marinespecies.org/aphia.php?p=taxdetails&id=127203,alive,adult,ectotherm,,,,
7406,36357,MTD669,Taurulus bubalis,long-spined sea scorpion,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,Taurulus bubalis,carnivore,http://www.glaucus.org.uk/Terror.htm,alive,adult,ectotherm,,,,
7454,36358,MTD670,Myoxocephalus scorpius,short-horn sculpin,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus scorpius,carnivore,http://www.marinespecies.org/aphia.php?p=taxdetails&id=127203,alive,adult,ectotherm,,,,
7508,36359,MTD671,Taurulus bubalis,long-spined sea scorpion,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,Taurulus bubalis,carnivore,http://www.glaucus.org.uk/Terror.htm,alive,adult,ectotherm,,,,
7564,36360,MTD672,Nauphoeta cinerea,dead lobster cockroach,species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Nauphoeta,Nauphoeta cinerea,NA,NA,dead,adult (dead),ectotherm,,,,
7571,36361,MTD673,Nerodia sipedon,northern water snake,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Nerodia,Nerodia sipedon,carnivore,NA,alive,adult,ectotherm,,,,
7624,36362,MTD674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7627,36363,MTD675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7630,36365,MTD676,Crangon crangon,common shrimp,species,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon crangon,carnivore,http://cat.inist.fr/?aModele=afficheN&cpsidt=1046855,alive,adult,ectotherm,,,,
7633,36366,MTD677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7638,36367,MTD678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7643,36370,MTD679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7648,36371,MTD680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7653,36374,MTD681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7655,36376,MTD682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7657,36378,MTD683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7661,36379,MTD684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7665,36380,MTD685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7669,36381,MTD686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7673,36382,MTD687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7677,36383,MTD688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7681,36384,MTD689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7685,36385,MTD690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7689,36386,MTD691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7693,36387,MTD692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7697,36388,MTD693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7701,36389,MTD694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7705,36390,MTD695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7709,36391,MTD696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7713,36392,MTD697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7717,36393,MTD698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7721,36394,MTD699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7725,36395,MTD700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7729,36396,MTD701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7733,36397,MTD702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7737,36398,MTD703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7741,36399,MTD704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7745,36400,MTD705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7749,36401,MTD706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7753,36402,MTD707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7757,36403,MTD708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7761,36404,MTD709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7765,36405,MTD710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7769,36406,MTD711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7773,36407,MTD712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7777,36408,MTD713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7781,36409,MTD714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7785,36410,MTD715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7789,36411,MTD716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7793,36412,MTD717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7797,36413,MTD718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7801,36414,MTD719,Anisops deanei,back-swimmer,species,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,Anisops deanei,carnivore,NA,alive,adult,ectotherm,,,,
7804,36415,MTD720,Anisops deanei,back-swimmer,species,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,Anisops deanei,carnivore,NA,alive,adult,ectotherm,,,,
7807,36416,MTD721,Anisops deanei,back-swimmer,species,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,Anisops deanei,carnivore,NA,alive,adult,ectotherm,,,,
7810,36417,MTD722,Anisops deanei,back-swimmer,species,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,Anisops deanei,carnivore,NA,alive,adult,ectotherm,,,,
7813,36418,MTD723,Anisops deanei,back-swimmer,species,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,Anisops deanei,carnivore,NA,alive,adult,ectotherm,,,,
7816,36419,MTD724,Anisops deanei,back-swimmer,species,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,Anisops deanei,carnivore,NA,alive,adult,ectotherm,,,,
7819,36420,MTD725,Anisops deanei,back-swimmer,species,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,Anisops deanei,carnivore,NA,alive,adult,ectotherm,,,,
7822,36421,MTD726,Anisops deanei,back-swimmer,species,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,Anisops deanei,carnivore,NA,alive,adult,ectotherm,,,,
7825,36422,MTD727,Mytilus edulis,blue mussel,species,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus edulis,omnivore,NA,alive,adult,ectotherm,,,,
7828,36424,MTD728,Mytilus edulis,blue mussel,species,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus edulis,omnivore,NA,alive,adult,ectotherm,,,,
7831,36426,MTD729,Mytilus edulis,blue mussel,species,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus edulis,omnivore,NA,alive,adult,ectotherm,,,,
7833,36427,MTD730,Mytilus edulis,blue mussel,species,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus edulis,omnivore,NA,alive,adult,ectotherm,,,,
7835,36428,MTD731,Mytilus edulis,blue mussel,species,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus edulis,omnivore,NA,alive,adult,ectotherm,,,,
7837,36429,MTD732,Mytilus edulis,blue mussel,species,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus edulis,omnivore,NA,alive,adult,ectotherm,,,,
7839,36432,MTD733,yeast & sediment,yeast & sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
7846,36433,MTD734,yeast & sediment,yeast & sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
7853,36434,MTD735,yeast & sediment,yeast & sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
7858,36435,MTD736,yeast & sediment,yeast & sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
7863,36436,MTD737,yeast & sediment,yeast & sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
7868,36437,MTD738,yeast & sediment,yeast & sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
7875,36438,MTD739,yeast & sediment,yeast & sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
7882,36439,MTD740,yeast & sediment,yeast & sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
7887,36440,MTD741,yeast & sediment,yeast & sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
7892,36441,MTD742,yeast & sediment,yeast & sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
7897,36442,MTD743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7902,36443,MTD744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7907,36444,MTD745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7912,36445,MTD746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7917,36446,MTD747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7922,36447,MTD748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7927,36448,MTD749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7932,36449,MTD750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7937,36450,MTD751,Insecta spp.,cursorial insect,class,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,NA,NA,alive,NA,ectotherm,,,,
7966,36455,MTD752,dead squid,dead squid,order,Animalia,Mollusca,Cephalopoda,Teuthida,NA,NA,NA,NA,NA,dead,adult,ectotherm,,,,
7973,36457,MTD753,Culicidae spp.,mosquito,genus,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culicidae,NA,omnivore,NA,alive,instar final,ectotherm,,,,
